Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,15752.240234,15882.099609,15752.240234,15870.339844,15870.339844,3999760000
2021-04-06,15870.339844,15920.280273,15842.250000,15877.959961,15877.959961,4027880000
2021-04-07,15877.959961,15905.250000,15804.450195,15838.849609,15838.849609,4112640000
2021-04-08,15838.849609,15894.799805,15812.370117,15886.559570,15886.559570,3901910000
2021-04-09,15886.559570,15956.379883,15865.599609,15956.370117,15956.370117,3634910000
2021-04-12,15956.370117,15986.360352,15933.730469,15977.459961,15977.459961,3578500000
2021-04-13,15977.459961,15989.799805,15902.160156,15962.339844,15962.339844,3728440000
2021-04-14,15962.339844,16076.259766,15962.339844,16000.150391,16000.150391,3976540000
2021-04-15,16000.150391,16123.469727,16000.150391,16116.849609,16116.849609,4027680000
2021-04-16,16116.849609,16207.099609,16116.849609,16186.290039,16186.290039,4157430000
2021-04-19,16186.290039,16186.290039,16076.570313,16107.559570,16107.559570,3788020000
2021-04-20,16107.559570,16107.559570,15887.389648,15944.610352,15944.610352,4338230000
2021-04-21,15944.610352,16128.900391,15903.459961,16121.610352,16121.610352,3865820000
2021-04-22,16121.610352,16175.200195,15991.839844,16030.620117,16030.620117,4235040000
2021-04-23,16030.620117,16246.370117,16030.620117,16206.000000,16206.000000,3568080000
2021-04-26,16206.000000,16278.099609,16206.000000,16241.209961,16241.209961,3738920000
2021-04-27,16241.209961,16287.620117,16212.750000,16273.309570,16273.309570,3703240000
2021-04-28,16273.309570,16362.599609,16273.309570,16322.129883,16322.129883,3772390000
2021-04-29,16322.129883,16413.279297,16263.040039,16376.000000,16376.000000,4288940000
2021-04-30,16376.000000,16376.000000,16199.480469,16219.330078,16219.330078,4273680000
2021-05-03,16219.330078,16375.070313,16219.330078,16325.240234,16325.240234,4061170000
2021-05-04,16325.240234,16325.240234,16156.990234,16289.269531,16289.269531,4441080000
2021-05-05,16289.269531,16394.619141,16284.740234,16348.410156,16348.410156,4029050000
2021-05-06,16348.410156,16462.439453,16275.160156,16459.599609,16459.599609,4504860000
2021-05-07,16459.599609,16598.019531,16439.039063,16590.429688,16590.429688,4013060000
2021-05-10,16590.429688,16685.890625,16516.800781,16516.830078,16516.830078,3678970000
2021-05-11,16516.830078,16516.830078,16211.540039,16355.620117,16355.620117,3593110000
2021-05-12,16355.620117,16355.620117,16030.299805,16042.969727,16042.969727,3735080000
2021-05-13,16042.969727,16243.269531,16035.490234,16181.629883,16181.629883,3687780000
2021-05-14,16181.629883,16438.900391,16181.629883,16415.359375,16415.359375,3251920000
2021-05-17,16415.359375,16434.250000,16341.179688,16422.960938,16422.960938,3307130000
2021-05-18,16422.960938,16458.230469,16337.290039,16337.730469,16337.730469,3559790000
2021-05-19,16337.730469,16337.730469,16040.429688,16233.320313,16233.320313,3485550000
2021-05-20,16233.320313,16398.769531,16233.299805,16350.450195,16350.450195,3019060000
2021-05-21,16350.450195,16475.000000,16344.759766,16375.000000,16375.000000,3344620000
2021-05-24,16375.000000,16508.519531,16375.000000,16464.689453,16464.689453,2947400000
2021-05-25,16464.689453,16525.810547,16375.150391,16390.189453,16390.189453,3420870000
2021-05-26,16390.189453,16466.339844,16388.320313,16451.960938,16451.960938,3674490000
2021-05-27,16451.960938,16546.359375,16451.960938,16531.949219,16531.949219,5201110000
2021-05-28,16531.949219,16588.689453,16531.949219,16555.660156,16555.660156,4199270000
2021-06-01,16555.660156,16718.669922,16555.660156,16643.320313,16643.320313,4122960000
2021-06-02,16643.320313,16691.960938,16620.550781,16673.960938,16673.960938,4860930000
2021-06-03,16673.960938,16673.960938,16530.199219,16632.339844,16632.339844,4579450000
2021-06-04,16632.339844,16718.009766,16632.339844,16708.740234,16708.740234,3487070000
2021-06-07,16708.740234,16725.550781,16669.900391,16709.300781,16709.300781,3835570000
2021-06-08,16685.140625,16704.480469,16607.140625,16685.480469,16685.480469,3943870000
2021-06-09,16685.480469,16691.019531,16619.960938,16620.000000,16620.000000,3902870000
2021-06-10,16620.000000,16726.949219,16613.150391,16651.429688,16651.429688,3502480000
2021-06-11,16651.429688,16696.509766,16629.630859,16694.929688,16694.929688,3204280000
2021-06-14,16694.929688,16694.929688,16600.470703,16662.419922,16662.419922,3612050000
2021-06-15,16662.419922,16685.039063,16596.800781,16655.810547,16655.810547,3578450000
2021-06-16,16655.810547,16655.810547,16497.750000,16542.759766,16542.759766,3722050000
2021-06-17,16542.759766,16562.189453,16307.070313,16411.650391,16411.650391,3952110000
2021-06-18,16411.650391,16411.650391,16142.500000,16143.950195,16143.950195,6084980000
